Russell 2K (RTO|RTY) RTOU6 (43.85 DTE) vs 3036.8 (-7.9) - Open Interest
Put: 12,899 Call: 7,015 Vol: 18.50 Vol Chg: -0.71 Future Chg: -7.9
Strike,Call,Put,Vol Settle
2525,0,33,0.30508964239474445
2550,0,406,0.2975510256519649
2575,1,57,0.29014951919023435
2600,161,263,0.2828973753687565
2625,0,38,0.2758064634301345
2650,2,194,0.2688882695003687
2675,0,100,0.26215389658885924
2700,30,506,0.2556140645884004
2725,0,60,0.24927911027518546
2750,7,189,0.24315898730880026
2775,0,86,0.23726326623223892
2800,449,993,0.23160113447187758
2825,1,169,0.2261813963375081
2850,3,803,0.22101247302230353
2875,0,240,0.21610240260283975
2900,428,523,0.21145884003909599
2925,0,15,0.2070890571744406
2950,10,599,0.20299994273563948
2975,8,9,0.1991980023328681
3000,327,677,0.19568935845967772
3025,18,1,0.19247975049303534
3050,36,25,0.18957453469330066
3075,74,0,0.18697868420422825
3100,680,5,0.18469678905296982
3125,37,2,0.18273305615007374
3150,208,2,0.18109130928949035
3175,35,0,0.17977498914856405
3200,794,2,0.17878715328803896
3225,47,0,0.1781304761520488
3250,383,0,0.17780724906813994
3275,140,0,0.17781938024723498
3300,803,0,0.1781683947836763
3325,61,0,0.17885543465518783
3350,187,0,0.17988125872289196
3400,125,0,0.18295037930839086
3450,106,0,0.18737416509712546
3500,185,0,0
3600,235,8,0
