Bitcoin (BTC|BTC) P1BU6 (0.42 DTE) vs 79035 (-210) - Intraday Volume
Put: 0 Call: 0 Vol: 36.06 Vol Chg: 0.05 Future Chg: -210
Strike,Call,Put,Vol Settle
76250,0,0,0
76500,0,0,0
76750,0,0,0.37986371352781134
77000,0,0,0.3730818813892256
77250,0,0,0.36739082368239906
77500,0,0,0.36279945360593047
77750,0,0,0.3593092034921028
78000,0,0,0.3569140248519034
78250,0,0,0.3556003883209087
78500,0,0,0.3553472837056688
78750,0,0,0.3561262199577868
79000,0,0,0.3579012251866516
79250,0,0,0.36062884664988815
79500,0,0,0.364258150754722
79750,0,0,0.36873072306661925
80000,0,0,0.37398066830246535
80250,0,0,0.37993461033011044
80500,0,0,0.38651169216927883
80750,0,0,0.39362357599247844
81000,0,0,0.4011744431245461
81250,0,0,0.4090609940444665
81500,0,0,0.41717244837946055
81750,0,0,0.425390544916354
