HRW Wheat (OKE|KE) OKEU6 (20.49 DTE) vs 707.5 (+0) - Open Interest
Put: 17,556 Call: 78,448 Vol: 35.40 Vol Chg: 0.23 Future Chg: 0
Strike,Call,Put,Vol Settle
550,0,104,0
555,250,150,0
560,0,23,0
565,0,48,0
570,1,744,0
575,0,251,0
580,4,1124,0
585,4,314,0
590,6,287,0.3820458479322264
595,0,146,0.3734468253620653
600,60,1102,0.3657700398895365
605,5,110,0.3589753789594363
610,1,325,0.35302357609566926
615,13,100,0.3478762109011395
620,104,1628,0.34349570905787274
625,30,113,0.33984534232692987
630,229,653,0.33688922854850034
635,91,132,0.3345923316417281
640,113,556,0.33292046160493527
645,433,230,0.3318402745154696
650,3900,875,0.3313192725297309
655,81,26,0.33132580388319965
660,626,1774,0.331829062890435
665,64,189,0.33279908994506613
670,429,1306,0.3342067715197494
675,41,18,0.33602384016624853
680,5366,1105,0.33822287451539523
685,33,11,0.3407772992770841
690,318,242,0.34366138524023704
695,110,69,0.3468502492729133
700,3688,716,0.35031985432218704
705,113,61,0.3540470094142272
710,423,94,0.3580093696542459
715,162,273,0.3621854362265573
720,450,418,0.36655455639449563
725,221,42,0.37109692350052725
730,6376,438,0.3757935769661245
735,197,70,0.3806264022918455
740,1265,243,0.3855781310573647
745,144,25,0.3906323409213215
750,7896,37,0.39577345562153
755,54,35,0.4009867449748157
760,580,44,0.40625832487708635
765,28,5,0.41157515730331795
770,1085,5,0.4169250503075155
775,206,104,0.4222966580228267
780,920,0,0.42767948066142125
785,57,0,0.43306386451451573
790,536,0,0.43844100195241253
795,10,0,0.443802931424532
800,22195,2,0.44914253745931276
805,153,0,0.454453550664244
810,2255,0,0.4597305477259077
815,30,0,0.4649689514099755
820,655,0,0.47016503056113734
825,155,0,0.47531590010319746
830,158,0,0.48041952103897856
835,5,0,0.48547470045045316
840,119,0,0.4904810914985518
845,19,0,0.49543919342336196
850,10395,0,0.5003503515440144
855,21,0,0.5052167572586583
860,80,0,0.5100414480445821
865,5,0,0.514828307458103
870,7,0,0.5195820651346352
875,6,0,0.5243082967885826
880,2051,0,0.5290134242135238
885,9,0,0.5337047152820347
890,0,0,0.5383902839458301
895,0,0,0.5430790902355724
900,2601,0,0.5477809402610703
905,0,0,0.5525064862112004
